HorseID,Horse,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
J325,真心傳奇(J325),沙田,Turf,1200,4,11,6,-2.4,9.15,36.36,54.55,-21.82
G400,同滿滿(G400),跑馬地,Turf,1000,3,11,4,6.2,6.08,27.27,36.36,56.36
H241,紅逸舍(H241),跑馬地,Turf,1000,3,11,3,1.9000000000000004,17.29,27.27,27.27,17.27
H411,氣勢(H411),沙田,Turf,1200,3,11,3,-4.1,19.0,27.27,27.27,-37.27
J027,風雲武士(J027),跑馬地,Turf,1200,3,11,7,-1.9,7.0,27.27,63.64,-17.27
J239,勁先生(J239),沙田,AWT,1200,3,11,6,8.0,10.71,27.27,54.55,72.73
E321,逆市奇爸(E321),沙田,AWT,1200,2,11,4,10.4,23.49,18.18,36.36,94.55
G306,瑪瑙(G306),跑馬地,Turf,1650,2,11,3,15.4,20.04,18.18,27.27,140.0
H368,精算暴雪(H368),沙田,Turf,1200,2,11,7,8.0,78.96,18.18,63.64,72.73
H389,愛心神駒(H389),沙田,Turf,2000,2,11,4,-3.5,15.26,18.18,36.36,-31.82
J026,遨遊武士(J026),沙田,Turf,1600,2,11,5,-6.6,16.95,18.18,45.45,-60.0
J136,精英雄心(J136),沙田,AWT,1650,2,11,8,-4.199999999999999,4.81,18.18,72.73,-38.18
J232,天天耍樂(J232),沙田,AWT,1200,2,11,5,-0.8999999999999995,5.86,18.18,45.45,-8.18
J338,幸運傳承(J338),跑馬地,Turf,1200,2,11,2,2.6999999999999993,17.35,18.18,18.18,24.55
J437,耀寶(J437),沙田,Turf,1200,2,11,3,-5.1,24.12,18.18,27.27,-46.36
J490,天外迎天(J490),跑馬地,Turf,1200,2,11,6,-2.3000000000000003,5.92,18.18,54.55,-20.91
J534,風再起時(J534),沙田,Turf,1200,2,11,5,25.0,24.53,18.18,45.45,227.27
K004,豐辰(K004),沙田,Turf,1400,2,11,6,127.8,63.81,18.18,54.55,1161.82
E028,赤馬雄風(E028),跑馬地,Turf,1650,1,11,3,5.0,10.29,9.09,27.27,45.45
E434,快搏(E434),跑馬地,Turf,1200,1,11,3,-7.7,14.28,9.09,27.27,-70.0
E472,久久為攻(E472),跑馬地,Turf,1650,1,11,4,-5.8,20.83,9.09,36.36,-52.73
H133,精英至尊(H133),跑馬地,Turf,1200,1,11,3,-8.4,12.28,9.09,27.27,-76.36
H134,精益大師(H134),跑馬地,Turf,1000,1,11,4,-6.1,8.97,9.09,36.36,-55.45
H166,錶之量子(H166),跑馬地,Turf,1650,1,11,4,-2.0,6.47,9.09,36.36,-18.18
H242,金匯昇昇(H242),跑馬地,Turf,1200,1,11,5,-6.4,15.61,9.09,45.45,-58.18
H343,海藍寶(H343),沙田,Turf,1200,1,11,3,2.0,20.27,9.09,27.27,18.18
J139,紫荊歡呼(J139),沙田,Turf,1400,1,11,3,-7.4,16.46,9.09,27.27,-67.27
J157,熾烈神駒(J157),沙田,Turf,1200,1,11,6,-8.3,15.0,9.09,54.55,-75.45
J162,神駒馬靈(J162),跑馬地,Turf,1650,1,11,5,-6.6,10.22,9.09,45.45,-60.0
J174,美神來(J174),沙田,Turf,1400,1,11,2,-2.1999999999999993,14.14,9.09,18.18,-20.0
J320,河好運(J320),沙田,Turf,1200,1,11,5,-9.3,6.28,9.09,45.45,-84.55
J371,風雲(J371),跑馬地,Turf,1650,1,11,3,2.0,20.97,9.09,27.27,18.18
J384,勁進駒(J384),跑馬地,Turf,1650,1,11,7,-6.9,5.6,9.09,63.64,-62.73
J403,同喜(J403),沙田,Turf,1200,1,11,6,-8.3,15.94,9.09,54.55,-75.45
J530,朗日自強(J530),沙田,Turf,1400,1,11,1,8.0,56.45,9.09,9.09,72.73
K003,康昌之星(K003),跑馬地,Turf,1650,1,11,4,-4.9,7.38,9.09,36.36,-44.55
K110,肥仔精神(K110),沙田,Turf,1400,1,11,1,-6.0,34.47,9.09,9.09,-54.55
K231,久久為軍(K231),沙田,Turf,1400,1,11,2,9.0,26.86,9.09,18.18,81.82
E471,風繼續吹(E471),沙田,Turf,1400,0,11,1,-11.0,21.84,0.0,9.09,-100.0
G033,越駿知己(G033),跑馬地,Turf,1200,0,11,2,-11.0,21.2,0.0,18.18,-100.0
G195,連連歡呼(G195),跑馬地,Turf,1650,0,11,4,-11.0,5.78,0.0,36.36,-100.0
G365,舞林密碼(G365),沙田,Turf,1400,0,11,5,-11.0,15.46,0.0,45.45,-100.0
G404,維港智能(G404),沙田,Turf,1200,0,11,0,-11.0,77.45,0.0,0.0,-100.0
H066,美麗歡聲(H066),跑馬地,Turf,1650,0,11,3,-11.0,14.74,0.0,27.27,-100.0
H089,晶晶日上(H089),沙田,AWT,1200,0,11,5,-11.0,9.64,0.0,45.45,-100.0
H144,快馬加鞭(H144),沙田,AWT,1200,0,11,3,-11.0,9.9,0.0,27.27,-100.0
H212,禪勝輝煌(H212),沙田,Turf,1600,0,11,3,-11.0,39.37,0.0,27.27,-100.0
H436,鄉村樂韻(H436),跑馬地,Turf,1200,0,11,1,-11.0,18.91,0.0,9.09,-100.0
J111,傳承者(J111),跑馬地,Turf,1650,0,11,1,-11.0,26.87,0.0,9.09,-100.0
J179,有心意(J179),跑馬地,Turf,1200,0,11,2,-11.0,17.2,0.0,18.18,-100.0
J333,魔術控制(J333),沙田,Turf,1200,0,11,2,-11.0,55.81,0.0,18.18,-100.0
J395,至高心得(J395),跑馬地,Turf,1650,0,11,2,-11.0,46.0,0.0,18.18,-100.0
J397,金鑽精靈(J397),沙田,Turf,1400,0,11,3,-11.0,27.96,0.0,27.27,-100.0
J406,飛黃(J406),跑馬地,Turf,1200,0,11,3,-11.0,13.11,0.0,27.27,-100.0
K175,飛來閃耀(K175),沙田,Turf,1000,0,11,6,-11.0,14.85,0.0,54.55,-100.0
