Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
巴度,沙田,Turf,1800,1,34,6,-27.8,21.27,2.94,17.65,-81.76
巴度,跑馬地,Turf,1000,5,33,12,-11.200000000000001,16.52,15.15,36.36,-33.94
奧爾民,沙田,Turf,1000,3,33,7,23.8,49.62,9.09,21.21,72.12
希威森,沙田,AWT,1200,3,33,8,-17.0,28.85,9.09,24.24,-51.52
潘明輝,跑馬地,Turf,1000,2,33,8,-6.5,22.65,6.06,24.24,-19.7
湯普新,沙田,Turf,1600,1,33,2,-15.0,49.06,3.03,6.06,-45.45
班德禮,沙田,AWT,1650,0,33,3,-33.0,41.49,0.0,9.09,-100.0
金誠剛,沙田,Turf,1600,0,33,8,-33.0,50.34,0.0,24.24,-100.0
黃寶妮,沙田,Turf,1000,4,32,10,12.399999999999999,23.57,12.5,31.25,38.75
艾道拿,沙田,AWT,1650,2,32,7,-20.5,17.44,6.25,21.88,-64.06
巫顯東,跑馬地,Turf,1200,1,32,5,33.0,57.39,3.12,15.62,103.12
賀銘年,跑馬地,Turf,1650,1,32,6,-16.0,44.2,3.12,18.75,-50.0
楊明綸,跑馬地,Turf,1000,0,32,2,-32.0,50.96,0.0,6.25,-100.0
艾道拿,沙田,Turf,1800,4,31,10,6.699999999999999,18.0,12.9,32.26,21.61
黃智弘,沙田,AWT,1650,4,31,10,25.6,29.94,12.9,32.26,82.58
巴度,跑馬地,Turf,1800,3,31,14,-9.5,11.4,9.68,45.16,-30.65
奧爾民,沙田,AWT,1200,1,31,3,-27.1,43.07,3.23,9.68,-87.42
楊明綸,跑馬地,Turf,1800,3,30,7,0.5,26.32,10.0,23.33,1.67
杜苑欣,跑馬地,Turf,1200,1,30,7,-9.0,15.16,3.33,23.33,-30.0
梁家俊,沙田,AWT,1200,1,30,7,-22.1,34.95,3.33,23.33,-73.67
潘明輝,沙田,Turf,1800,1,30,6,-22.6,37.36,3.33,20.0,-75.33
潘明輝,跑馬地,Turf,1800,0,30,10,-30.0,18.39,0.0,33.33,-100.0
蔡明紹,跑馬地,Turf,1800,0,30,6,-30.0,25.35,0.0,20.0,-100.0
何澤堯,沙田,AWT,1200,3,29,9,-9.5,23.7,10.34,31.03,-32.76
何澤堯,沙田,Turf,1000,2,29,4,-21.7,33.58,6.9,13.79,-74.83
周俊樂,沙田,AWT,1650,0,29,4,-29.0,21.41,0.0,13.79,-100.0
麥文堅,沙田,Turf,1200,0,29,6,-29.0,22.68,0.0,20.69,-100.0
布文,沙田,Turf,2000,4,28,5,0.6999999999999993,19.99,14.29,17.86,2.5
希威森,跑馬地,Turf,1800,2,28,5,-16.9,24.56,7.14,17.86,-60.36
潘大衛,沙田,Turf,1400,0,28,1,-28.0,81.39,0.0,3.57,-100.0
梁家俊,沙田,AWT,1650,2,27,5,-11.0,46.31,7.41,18.52,-40.74
黃寶妮,沙田,AWT,1650,2,27,5,-8.3,22.99,7.41,18.52,-30.74
麥道朗,跑馬地,Turf,1200,5,26,12,19.0,7.29,19.23,46.15,73.08
潘頓,沙田,Turf,2000,3,26,9,-14.5,6.82,11.54,34.62,-55.77
紀仁安,沙田,Turf,1200,3,26,7,1.5999999999999996,18.35,11.54,26.92,6.15
艾兆禮,沙田,Turf,2000,3,26,9,-11.0,26.08,11.54,34.62,-42.31
艾道拿,跑馬地,Turf,1800,3,26,7,10.8,18.54,11.54,26.92,41.54
希威森,沙田,Turf,1800,2,26,5,-2.0,38.68,7.69,19.23,-7.69
周俊樂,跑馬地,Turf,1800,1,26,5,-1.0,18.11,3.85,19.23,-3.85
董明朗,沙田,Turf,1600,0,26,2,-26.0,41.09,0.0,7.69,-100.0
霍宏聲,沙田,Turf,1800,3,25,6,6.800000000000001,24.22,12.0,24.0,27.2
梁家俊,沙田,Turf,1800,2,25,4,-1.3,35.43,8.0,16.0,-5.2
麥文堅,沙田,Turf,1400,2,25,6,14.7,35.79,8.0,24.0,58.8
奧爾民,沙田,AWT,1650,1,25,4,3.0,42.43,4.0,16.0,12.0
巴度,沙田,Turf,2000,1,25,5,6.0,33.67,4.0,20.0,24.0
梁家俊,跑馬地,Turf,1000,1,25,1,-20.7,33.28,4.0,4.0,-82.8
田泰安,沙田,Turf,2000,1,25,7,-18.0,16.85,4.0,28.0,-72.0
黃智弘,沙田,Turf,1000,1,25,5,-12.0,39.22,4.0,20.0,-48.0
梁家俊,跑馬地,Turf,1800,0,25,4,-25.0,25.97,0.0,16.0,-100.0
艾道拿,跑馬地,Turf,1000,0,25,3,-25.0,21.08,0.0,12.0,-100.0
蔡明紹,沙田,Turf,1800,0,25,6,-25.0,32.65,0.0,24.0,-100.0
潘明輝,沙田,Turf,2000,3,24,7,-10.7,25.18,12.5,29.17,-44.58
金誠剛,沙田,AWT,1200,1,24,6,-20.5,34.01,4.17,25.0,-85.42
潘大衛,跑馬地,Turf,1200,0,24,1,-24.0,55.05,0.0,4.17,-100.0
麥道朗,沙田,Turf,1600,7,23,12,4.440892098500626e-16,5.44,30.43,52.17,0.0
金誠剛,沙田,AWT,1650,4,23,6,14.3,20.13,17.39,26.09,62.17
艾道拿,沙田,Turf,2000,3,23,6,5.7,30.73,13.04,26.09,24.78
何澤堯,沙田,AWT,1650,2,23,5,-2.4000000000000004,11.3,8.7,21.74,-10.43
周俊樂,跑馬地,Turf,1000,2,23,4,-17.5,20.5,8.7,17.39,-76.09
班德禮,沙田,Turf,1800,2,23,7,14.0,27.26,8.7,30.43,60.87
黃寶妮,沙田,Turf,1600,2,23,3,14.100000000000001,37.07,8.7,13.04,61.3
巴度,沙田,AWT,1650,1,23,4,-11.0,14.4,4.35,17.39,-47.83
黃智弘,沙田,Turf,1600,1,23,3,1.0,52.18,4.35,13.04,4.35
霍宏聲,跑馬地,Turf,1800,0,23,4,-23.0,21.6,0.0,17.39,-100.0
莫雷拉,沙田,Turf,1400,4,22,9,4.899999999999999,9.83,18.18,40.91,22.27
班德禮,跑馬地,Turf,1800,2,22,4,-11.7,23.37,9.09,18.18,-53.18
何澤堯,跑馬地,Turf,1000,3,21,8,-10.7,28.66,14.29,38.1,-50.95
奧爾民,跑馬地,Turf,1000,2,21,5,43.4,20.93,9.52,23.81,206.67
黃智弘,跑馬地,Turf,1800,2,21,6,15.9,26.09,9.52,28.57,75.71
杜苑欣,跑馬地,Turf,1650,1,21,5,-14.7,16.47,4.76,23.81,-70.0
