date,meeting_name,race_number,race_key,horse_number,horse_name,finish_pos,is_win,is_top3,baseline_rank,probability_baseline,candidate_rank,probability_candidate,rank_delta,entered_top2,left_top2,dimension,period,method
2026-05-09,2026-05-09_ShaTin,8,2026-05-09::2026-05-09_ShaTin::R8,2,快活英雄,10,0,0,6.0,0.06739699464464294,6.0,0.06936772968055047,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,8,2026-05-09::2026-05-09_ShaTin::R8,3,手機錶勁,3,0,1,4.0,0.11604691436476508,4.0,0.1298744732085324,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,8,2026-05-09::2026-05-09_ShaTin::R8,4,超寫意,9,0,0,1.0,0.19889120577450317,1.0,0.19655245239007738,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,8,2026-05-09::2026-05-09_ShaTin::R8,5,多威心得,12,0,0,10.0,0.02695759363840703,10.0,0.0261086433133474,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,8,2026-05-09::2026-05-09_ShaTin::R8,6,幸運多彩,8,0,0,11.0,0.024827389269883534,11.0,0.022673691921500507,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,8,2026-05-09::2026-05-09_ShaTin::R8,7,㩒住贏,1,1,1,8.0,0.04522463648024781,8.0,0.0441882123343448,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,8,2026-05-09::2026-05-09_ShaTin::R8,8,勁駿騰飛,4,0,0,9.0,0.029509632183991684,9.0,0.026741342342879195,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,8,2026-05-09::2026-05-09_ShaTin::R8,9,長勝隊長,6,0,0,5.0,0.11043610042561393,5.0,0.10720554575888895,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,8,2026-05-09::2026-05-09_ShaTin::R8,10,辣得準,7,0,0,2.0,0.1631280385694339,2.0,0.17312248269112118,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,8,2026-05-09::2026-05-09_ShaTin::R8,11,富國兄弟,2,0,1,3.0,0.14385979410455182,3.0,0.13472245170038016,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,8,2026-05-09::2026-05-09_ShaTin::R8,12,自力更生,5,0,0,12.0,0.01099693155396788,12.0,0.009845981108204374,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,9,2026-05-09::2026-05-09_ShaTin::R9,1,會長之寶,9,0,0,2.0,0.15615719266195882,2.0,0.15708642285160235,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
2026-05-09,2026-05-09_ShaTin,9,2026-05-09::2026-05-09_ShaTin::R9,2,米奇,7,0,0,1.0,0.16524129707184881,1.0,0.17344466218299087,0.0,False,False,trainer_signal,walk_forward,Residual cap=0.20
