dataset,split,meeting,date,venue,race_number,actual_top3,winner,stored_top2,current_top2,shadow_top2,stored_hits,current_hits,shadow_hits,stored_winner_top2,current_winner_top1,current_winner_top2,shadow_winner_top1,shadow_winner_top2,top2_changed,entered_top2,exited_top2,hit_delta,winner_delta,zero_to_positive,one_to_two,one_to_zero,two_to_one_or_zero,current_rank3,current_rank3_is_top3,current_rank3_promoted,effective_rank3_rescue,harmful_rank3_promotion,effective_replacement,harmful_replacement,field_size
independent_recent,independent_recent,2026-07-01_ShaTin,2026-07-01,ShaTin,5,7/8/9,9,2/6,2/6,2/6,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,10,0,0,0,0,0,0,10
independent_recent,independent_recent,2026-07-01_ShaTin,2026-07-01,ShaTin,6,6/7/10,10,7/6,7/6,6/12,2,2,1,0,0,0,0,0,1,12,7,-1,0,0,0,0,1,12,0,1,0,1,0,1,12
independent_recent,independent_recent,2026-07-01_ShaTin,2026-07-01,ShaTin,7,2/6/12,6,12/5,2/12,2/12,1,2,2,0,0,0,0,0,0,,,0,0,0,0,0,0,6,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-01_ShaTin,2026-07-01,ShaTin,8,3/4/7,3,10/4,10/3,10/3,1,1,1,0,0,1,0,1,0,,,0,0,0,0,0,0,4,1,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-01_ShaTin,2026-07-01,ShaTin,9,8/11/12,8,8/13,8/12,8/12,1,2,2,1,1,1,1,1,0,,,0,0,0,0,0,0,13,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-01_ShaTin,2026-07-01,ShaTin,10,2/3/13,3,3/2,2/3,2/3,2,2,2,1,0,1,0,1,0,,,0,0,0,0,0,0,4,0,0,0,0,0,0,14
independent_recent,independent_recent,2026-07-01_ShaTin,2026-07-01,ShaTin,11,3/4/7,7,3/7,3/6,3/6,2,1,1,1,0,0,0,0,0,,,0,0,0,0,0,0,7,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-04_ShaTin,2026-07-04,ShaTin,1,1/2/9,2,1/2,2/1,2/1,2,2,2,1,1,1,1,1,0,,,0,0,0,0,0,0,8,0,0,0,0,0,0,10
independent_recent,independent_recent,2026-07-04_ShaTin,2026-07-04,ShaTin,2,5/9/11,9,5/10,5/10,5/10,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,7,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-07-04_ShaTin,2026-07-04,ShaTin,3,3/11/12,3,12/3,12/8,12/8,2,1,1,1,0,0,0,0,0,,,0,0,0,0,0,0,3,1,0,0,0,0,0,12
