Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,TrainerDebutWinRate,TrainerDebutPlaceRate,JockeyDebutWinRate,JockeyDebutPlaceRate,WinEdgeVsMean,PlaceEdgeVsMean
賀銘年,丁冠豪,0,2,0,23.0,0.0,0.0,10.26,23.08,0.0,5.88,-5.13,-14.48
湯普新,徐雨石,0,2,0,77.0,0.0,0.0,10.34,17.24,0.0,9.84,-5.17,-13.54
艾道拿,葉楚航,0,2,0,17.5,0.0,0.0,5.36,14.29,5.19,23.38,-5.28,-18.84
艾兆禮,賀賢,0,2,0,19.5,0.0,0.0,6.85,21.92,4.0,24.0,-5.42,-22.96
蔡明紹,黎昭昇,0,2,0,86.25,0.0,0.0,4.76,20.63,6.33,18.99,-5.54,-19.81
班德禮,大衛希斯,0,2,0,33.35,0.0,0.0,6.17,25.93,5.08,16.95,-5.62,-21.44
艾兆禮,沈集成,0,2,0,94.5,0.0,0.0,7.69,16.67,4.0,24.0,-5.85,-20.34
田泰安,葉楚航,0,2,0,61.5,0.0,0.0,5.36,14.29,6.38,23.4,-5.87,-18.84
董明朗,大衛希斯,0,2,0,45.5,0.0,0.0,6.17,25.93,5.71,5.71,-5.94,-15.82
鍾易禮,徐雨石,0,2,1,150.5,0.0,50.0,10.34,17.24,1.56,7.81,-5.95,37.48
董明朗,鄭俊偉,0,2,0,41.5,0.0,0.0,6.67,28.89,5.71,5.71,-6.19,-17.3
艾道拿,沈集成,0,2,0,64.0,0.0,0.0,7.69,16.67,5.19,23.38,-6.44,-20.02
黃智弘,鄭俊偉,0,2,0,12.6,0.0,0.0,6.67,28.89,6.9,13.79,-6.78,-21.34
周俊樂,呂健威,0,2,0,34.5,0.0,0.0,8.45,26.76,5.56,9.72,-7.0,-18.24
布文,容天鵬,0,2,0,29.5,0.0,0.0,2.13,6.38,12.0,36.0,-7.06,-21.19
董明朗,呂健威,0,2,0,105.5,0.0,0.0,8.45,26.76,5.71,5.71,-7.08,-16.24
黃智弘,沈集成,0,2,0,14.0,0.0,0.0,7.69,16.67,6.9,13.79,-7.3,-15.23
梁家俊,呂健威,0,2,1,58.6,0.0,50.0,8.45,26.76,6.25,25.0,-7.35,24.12
蔡明紹,呂健威,0,2,0,32.0,0.0,0.0,8.45,26.76,6.33,18.99,-7.39,-22.88
周俊樂,伍鵬志,0,2,0,70.0,0.0,0.0,9.33,22.67,5.56,9.72,-7.44,-16.2
艾道拿,方嘉柏,0,2,1,13.7,0.0,50.0,9.72,23.61,5.19,23.38,-7.46,26.51
田泰安,文家良,0,2,0,22.9,0.0,0.0,8.62,17.24,6.38,23.4,-7.5,-20.32
奧爾民,蔡約翰,0,2,0,55.5,0.0,0.0,6.76,24.32,8.33,16.67,-7.54,-20.5
董明朗,方嘉柏,0,2,0,88.0,0.0,0.0,9.72,23.61,5.71,5.71,-7.72,-14.66
黃智弘,文家良,0,2,0,71.9,0.0,0.0,8.62,17.24,6.9,13.79,-7.76,-15.51
巴度,徐雨石,0,2,0,115.5,0.0,0.0,10.34,17.24,5.26,19.3,-7.8,-18.27
董明朗,徐雨石,0,2,0,167.5,0.0,0.0,10.34,17.24,5.71,5.71,-8.02,-11.48
蔡明紹,徐雨石,0,2,0,40.0,0.0,0.0,10.34,17.24,6.33,18.99,-8.34,-18.11
何澤堯,羅富全,0,2,0,54.8,0.0,0.0,6.76,22.97,10.0,26.67,-8.38,-24.82
蔡明紹,廖康銘,0,2,1,19.55,0.0,50.0,11.11,25.0,6.33,18.99,-8.72,28.01
何澤堯,巫偉傑,0,2,0,21.0,0.0,0.0,8.45,21.13,10.0,26.67,-9.22,-23.9
周俊樂,蘇偉賢,0,2,0,68.0,0.0,0.0,13.64,22.73,5.56,9.72,-9.6,-16.23
蔡明紹,蘇偉賢,0,2,0,73.5,0.0,0.0,13.64,22.73,6.33,18.99,-9.98,-20.86
田泰安,蘇偉賢,0,2,0,15.5,0.0,0.0,13.64,22.73,6.38,23.4,-10.01,-23.06
潘明輝,丁冠豪,0,2,1,29.25,0.0,50.0,10.26,23.08,9.86,25.35,-10.06,25.78
布文,文家良,0,2,1,15.0,0.0,50.0,8.62,17.24,12.0,36.0,-10.31,23.38
霍宏聲,羅富全,0,2,0,13.5,0.0,0.0,6.76,22.97,14.08,23.94,-10.42,-23.46
莫雅,岳伯仁,0,2,0,36.6,0.0,0.0,0.0,0.0,25.0,25.0,-12.5,-12.5
周俊樂,鄭俊偉,1,1,1,15.0,100.0,100.0,6.67,28.89,5.56,9.72,93.88,80.69
希威森,文家良,1,1,1,2.8,100.0,100.0,8.62,17.24,4.88,15.85,93.25,83.46
巴度,文家良,1,1,1,5.8,100.0,100.0,8.62,17.24,5.26,19.3,93.06,81.73
潘明輝,告東尼,1,1,1,9.9,100.0,100.0,4.17,13.89,9.86,25.35,92.98,80.38
奧爾民,丁冠豪,1,1,1,61.0,100.0,100.0,10.26,23.08,8.33,16.67,90.7,80.12
何澤堯,文家良,1,1,1,5.4,100.0,100.0,8.62,17.24,10.0,26.67,90.69,78.04
霍宏聲,巫偉傑,1,1,1,40.0,100.0,100.0,8.45,21.13,14.08,23.94,88.74,77.46
霍宏聲,文家良,1,1,1,4.8,100.0,100.0,8.62,17.24,14.08,23.94,88.65,79.41
莫雅,蔡約翰,1,1,1,1.7,100.0,100.0,6.76,24.32,25.0,25.0,84.12,75.34
金誠剛,姚本輝,1,1,1,3.5,100.0,100.0,8.0,34.67,50.0,50.0,71.0,57.66
莫艾誠,布銘球,1,1,1,12.0,100.0,100.0,100.0,100.0,50.0,50.0,25.0,25.0
司徒岳,伊比軒,0,1,0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
川田將雅,中內田充正,0,1,1,9.3,0.0,100.0,0.0,100.0,0.0,33.33,0.0,33.34
川田將雅,杉山晴紀,0,1,0,47.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,-16.66
川田將雅,高野友和,0,1,0,10.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,-16.66
巴米高,費伯華,0,1,0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杜滿樂,池添學,0,1,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杜滿樂,雷里雅,0,1,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
