Jockey,Going,Wins,Starts,Places,WinRate
川田將雅,一級賽 - 1600米,0,2,0,0.0
川田將雅,一級賽 - 2000米,0,2,1,0.0
川田將雅,第三班 - 1200米 - (80-60),0,1,0,0.0
川田將雅,第三班 - 1650米 - (80-60),0,1,0,0.0
川田將雅,第四班 - 1000米 - (60-40),0,1,0,0.0
川田將雅,第四班 - 1650米 - (60-40),0,1,0,0.0
巫顯東,新馬賽 - 1200米,0,1,0,0.0
巫顯東,第三班 - 1000米 - (80-55),0,1,0,0.0
巫顯東,第三班 - 1000米 - (80-60),0,1,0,0.0
巫顯東,第三班 - 1000米 - (85-60),0,1,0,0.0
巫顯東,第三班 - 1200米 - (80-55),0,2,2,0.0
巫顯東,第三班 - 1200米 - (80-60),1,10,1,10.0
巫顯東,第三班 - 1400米 - (80-60),0,9,0,0.0
巫顯東,第三班 - 1600米 - (80-60),0,3,1,0.0
巫顯東,第三班 - 1600米 - (85-60),0,1,0,0.0
巫顯東,第三班 - 1650米 - (80-60),0,3,0,0.0
巫顯東,第三班 - 1650米 - (85-60),1,1,1,100.0
巫顯東,第三班 - 1800米 - (80-60),1,2,2,50.0
巫顯東,第三班 - 1800米 - (85-60),0,1,0,0.0
巫顯東,第三班 - 2000米 - (80-60),0,1,1,0.0
巫顯東,第三班 - 2000米 - (85-60),0,1,0,0.0
巫顯東,第二班 - 1650米 - (100-75),0,1,0,0.0
巫顯東,第二班 - 1800米 - (90-60),0,1,0,0.0
巫顯東,第五班 - 1000米 - (40-0),0,2,0,0.0
巫顯東,第五班 - 1200米 - (40-0),0,3,0,0.0
巫顯東,第五班 - 1400米 - (40-0),0,3,0,0.0
巫顯東,第五班 - 1600米 - (40-0),0,1,0,0.0
巫顯東,第五班 - 1650米 - (40-0),0,1,0,0.0
巫顯東,第五班 - 1800米 - (40-0),0,1,0,0.0
巫顯東,第四班 - 1000米 - (60-40),0,2,0,0.0
巫顯東,第四班 - 1200米 - (60-40),1,24,4,4.2
巫顯東,第四班 - 1400米 - (60-40),0,19,0,0.0
巫顯東,第四班 - 1600米 - (60-40),0,3,0,0.0
巫顯東,第四班 - 1650米 - (60-40),0,15,0,0.0
巫顯東,第四班 - 1800米 - (60-40),0,4,0,0.0
巫顯東,第四班 - 2000米 - (60-40),0,1,0,0.0
巫顯東,第四班 - 2200米 - (60-40),0,1,0,0.0
巴度,一級賽 - 1200米,0,1,0,0.0
巴度,一級賽 - 1400米,0,1,0,0.0
巴度,一級賽 - 1600米,0,2,0,0.0
