Jockey,Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
莫雅,方嘉柏,0,3,2,-3.0,0.0,66.7,-100.0
莫雅,游達榮,0,2,0,-2.0,0.0,0.0,-100.0
莫雅,羅富全,0,1,0,-1.0,0.0,0.0,-100.0
莫雅,范景新,0,1,0,-1.0,0.0,0.0,-100.0
莫雅,葉楚航,0,1,0,-1.0,0.0,0.0,-100.0
莫雅,蘇偉賢,0,1,0,-1.0,0.0,0.0,-100.0
莫雅,黎昭昇,0,1,0,-1.0,0.0,0.0,-100.0
莫雷拉,伍鵬志,0,4,2,-4.0,0.0,50.0,-100.0
艾道拿,羅富全,0,6,2,-6.0,0.0,33.3,-100.0
莫雷拉,堀宣行,0,2,2,-2.0,0.0,100.0,-100.0
莫雷拉,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
杜滿樂,池添學,0,1,0,-1.0,0.0,0.0,-100.0
杜滿樂,雷里雅,0,1,0,-1.0,0.0,0.0,-100.0
杜苑欣,伍鵬志,0,1,0,-1.0,0.0,0.0,-100.0
杜苑欣,呂健威,0,1,0,-1.0,0.0,0.0,-100.0
杜苑欣,姚本輝,0,2,1,-2.0,0.0,50.0,-100.0
杜苑欣,巫偉傑,0,1,1,-1.0,0.0,100.0,-100.0
杜苑欣,徐雨石,0,4,0,-4.0,0.0,0.0,-100.0
杜苑欣,文家良,0,1,1,-1.0,0.0,100.0,-100.0
希威森,丁冠豪,0,8,3,-8.0,0.0,37.5,-100.0
希威森,伍鵬志,0,15,0,-15.0,0.0,0.0,-100.0
莫雷拉,池江泰壽,0,1,1,-1.0,0.0,100.0,-100.0
莫雷拉,沈集成,0,1,0,-1.0,0.0,0.0,-100.0
莫雷拉,蘇偉賢,0,3,2,-3.0,0.0,66.7,-100.0
菅原明良,高柳瑞樹,0,1,0,-1.0,0.0,0.0,-100.0
希威森,巫偉傑,0,4,2,-4.0,0.0,50.0,-100.0
希威森,徐雨石,0,3,0,-3.0,0.0,0.0,-100.0
希威森,沈集成,0,7,2,-7.0,0.0,28.6,-100.0
希威森,游達榮,0,9,2,-9.0,0.0,22.2,-100.0
希威森,羅富全,0,13,2,-13.0,0.0,15.4,-100.0
布文,巫偉傑,0,4,1,-4.0,0.0,25.0,-100.0
董明朗,沈集成,0,1,0,-1.0,0.0,0.0,-100.0
董明朗,游達榮,0,5,0,-5.0,0.0,0.0,-100.0
董明朗,羅富全,0,2,0,-2.0,0.0,0.0,-100.0
董明朗,葉楚航,0,7,0,-7.0,0.0,0.0,-100.0
董明朗,賀賢,0,13,2,-13.0,0.0,15.4,-100.0
董明朗,鄭俊偉,0,5,0,-5.0,0.0,0.0,-100.0
董明朗,黎昭昇,0,3,0,-3.0,0.0,0.0,-100.0
蔡明紹,丁冠豪,0,8,0,-8.0,0.0,0.0,-100.0
蔡明紹,伍鵬志,0,11,3,-11.0,0.0,27.3,-100.0
莫雷拉,國枝榮,0,1,1,-1.0,0.0,100.0,-100.0
蔡明紹,容天鵬,0,14,2,-14.0,0.0,14.3,-100.0
布文,徐雨石,0,4,0,-4.0,0.0,0.0,-100.0
布文,羅富全,0,16,7,-16.0,0.0,43.8,-100.0
布文,蘇偉賢,0,10,1,-10.0,0.0,10.0,-100.0
布文,鄭俊偉,0,1,0,-1.0,0.0,0.0,-100.0
巴米高,羅富全,0,1,0,-1.0,0.0,0.0,-100.0
巴米高,蔡約翰,0,1,0,-1.0,0.0,0.0,-100.0
蔡明紹,方嘉柏,0,7,1,-7.0,0.0,14.3,-100.0
蔡明紹,沈集成,0,10,1,-10.0,0.0,10.0,-100.0
蔡明紹,游達榮,0,7,0,-7.0,0.0,0.0,-100.0
蔡明紹,鄭俊偉,0,13,1,-13.0,0.0,7.7,-100.0
董明朗,巫偉傑,0,1,0,-1.0,0.0,0.0,-100.0
董明朗,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
董明朗,徐雨石,0,19,4,-19.0,0.0,21.1,-100.0
董明朗,文家良,0,3,0,-3.0,0.0,0.0,-100.0
希威森,姚本輝,0,3,0,-3.0,0.0,0.0,-100.0
貝知仁,容天鵬,0,4,0,-4.0,0.0,0.0,-100.0
貝知仁,巫偉傑,0,1,0,-1.0,0.0,0.0,-100.0
蔡明紹,黎昭昇,0,8,1,-8.0,0.0,12.5,-100.0
薛凱華,游孝廉,0,1,0,-1.0,0.0,0.0,-100.0
薛凱華,菲德文及菲敦盟,0,1,0,-1.0,0.0,0.0,-100.0
薛凱華,馬漢雅,0,1,0,-1.0,0.0,0.0,-100.0
薛恩,伍鵬志,0,7,1,-7.0,0.0,14.3,-100.0
薛恩,呂健威,0,2,1,-2.0,0.0,50.0,-100.0
薛恩,大衛希斯,0,4,2,-4.0,0.0,50.0,-100.0
薛恩,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
薛恩,方嘉柏,0,4,1,-4.0,0.0,25.0,-100.0
薛恩,賀賢,0,1,0,-1.0,0.0,0.0,-100.0
薛恩,韋達,0,1,0,-1.0,0.0,0.0,-100.0
薛恩,高亮能,0,1,0,-1.0,0.0,0.0,-100.0
薛恩,黎昭昇,0,3,0,-3.0,0.0,0.0,-100.0
蔡明紹,呂健威,0,11,1,-11.0,0.0,9.1,-100.0
貝知仁,韋達,0,23,3,-23.0,0.0,13.0,-100.0
賀銘年,丁冠豪,0,14,3,-14.0,0.0,21.4,-100.0
賀銘年,伍鵬志,0,10,1,-10.0,0.0,10.0,-100.0
賀銘年,告東尼,0,4,0,-4.0,0.0,0.0,-100.0
蘇銘倫,呂健威,0,1,0,-1.0,0.0,0.0,-100.0
