Trainer,Going,Wins,Starts,Places,WinRate
伍鵬志,第四班 - 2200米 - (60-40),0,5,1,0.0
伍鵬志,第四班（條件限制） - 1200米 - (60-40),0,3,1,0.0
伍鵬志,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
伯特,一級賽 - 2000米,0,1,0,0.0
侯耀誠,一級賽 - 1200米,0,1,0,0.0
包義定,一級賽 - 2000米,0,1,0,0.0
包義定,一級賽 - 2400米,0,1,0,0.0
吉村圭司,一級賽 - 1200米,0,1,0,0.0
呂健威,一級賽 - 1200米,0,2,0,0.0
呂健威,一級賽 - 1400米,0,4,0,0.0
呂健威,一級賽 - 1600米,0,9,1,0.0
呂健威,一級賽 - 2000米,0,4,2,0.0
呂健威,一級賽 - 2400米,0,1,1,0.0
呂健威,三級賽 - 1000米,0,3,0,0.0
呂健威,三級賽 - 1200米,0,2,1,0.0
呂健威,三級賽 - 1400米,2,12,5,16.7
呂健威,三級賽 - 1600米,0,2,1,0.0
呂健威,三級賽 - 1800米,2,11,5,18.2
呂健威,三級賽 - 2400米,0,1,1,0.0
呂健威,二級賽 - 1200米,0,7,1,0.0
呂健威,二級賽 - 1600米,0,11,3,0.0
呂健威,四歲 - 1600米,0,4,2,0.0
呂健威,四歲 - 1800米,0,5,0,0.0
呂健威,四歲 - 2000米,1,3,2,33.3
呂健威,新馬賽 - 1000米,0,2,0,0.0
呂健威,新馬賽 - 1200米,0,2,0,0.0
呂健威,第一班 - 1200米 - (110-85),0,3,2,0.0
呂健威,第一班 - 1200米 - (80+),0,4,1,0.0
呂健威,第一班 - 1200米 - (85+),0,3,2,0.0
呂健威,第一班 - 1400米 - (110-85),1,1,1,100.0
呂健威,第一班 - 1400米 - (85+),1,2,2,50.0
呂健威,第一班 - 1600米 - (85+),0,2,0,0.0
呂健威,第三班 - 1000米 - (80-60),2,16,2,12.5
呂健威,第三班 - 1000米 - (85-60),1,3,1,33.3
呂健威,第三班 - 1200米 - (80-55),0,5,1,0.0
呂健威,第三班 - 1200米 - (80-60),21,108,36,19.4
呂健威,第三班 - 1200米 - (85-60),1,6,1,16.7
呂健威,第三班 - 1400米 - (80-60),5,56,14,8.9
呂健威,第三班 - 1400米 - (85-60),0,1,1,0.0
呂健威,第三班 - 1600米 - (80-60),2,23,5,8.7
呂健威,第三班 - 1600米 - (85-60),0,4,1,0.0
呂健威,第三班 - 1650米 - (80-55),0,2,1,0.0
呂健威,第三班 - 1650米 - (80-60),4,36,12,11.1
呂健威,第三班 - 1650米 - (85-60),0,6,0,0.0
呂健威,第三班 - 1800米 - (80-60),3,15,4,20.0
呂健威,第三班 - 1800米 - (85-60),0,3,0,0.0
呂健威,第三班 - 2000米 - (80-60),1,2,2,50.0
呂健威,第三班 - 2000米 - (85-60),1,3,1,33.3
呂健威,第三班（條件限制） - 1600米 - (85-60),0,4,0,0.0
呂健威,第二班 - 1000米 - (100-75),0,1,0,0.0
呂健威,第二班 - 1000米 - (100-80),0,4,0,0.0
呂健威,第二班 - 1000米 - (105-75),0,1,0,0.0
呂健威,第二班 - 1000米 - (90-65),0,1,0,0.0
呂健威,第二班 - 1200米 - (100-75),1,3,1,33.3
呂健威,第二班 - 1200米 - (100-80),1,27,10,3.7
呂健威,第二班 - 1200米 - (105-80),0,8,3,0.0
呂健威,第二班 - 1400米 - (100-80),2,13,5,15.4
呂健威,第二班 - 1400米 - (105-80),2,11,4,18.2
呂健威,第二班 - 1400米 - (90-70),0,1,1,0.0
呂健威,第二班 - 1600米 - (100-75),0,2,2,0.0
呂健威,第二班 - 1600米 - (100-80),0,3,2,0.0
呂健威,第二班 - 1600米 - (105-75),0,1,1,0.0
呂健威,第二班 - 1600米 - (105-80),1,4,3,25.0
呂健威,第二班 - 1650米 - (100-75),0,2,0,0.0
呂健威,第二班 - 1650米 - (100-80),0,5,1,0.0
呂健威,第二班 - 1650米 - (105-80),0,2,0,0.0
呂健威,第二班 - 1800米 - (100-70),0,1,0,0.0
