Jockey,Distance,Wins,Starts,Places,WinRate
黃寶妮,1000,4,39,13,10.3
黃寶妮,1200,16,153,32,10.5
黃寶妮,1400,3,71,8,4.2
黃寶妮,1600,2,23,3,8.7
黃寶妮,1650,2,38,6,5.3
黃寶妮,1800,1,13,2,7.7
黃寶妮,2000,0,5,0,0.0
黃智弘,1000,5,62,18,8.1
黃智弘,1200,23,229,55,10.0
黃智弘,1400,1,91,14,1.1
黃智弘,1600,1,23,3,4.3
黃智弘,1650,10,100,28,10.0
黃智弘,1800,4,37,11,10.8
黃智弘,2000,1,8,1,12.5
黃智弘,2200,0,2,1,0.0
黃智弘,2400,0,1,0,0.0
黎應揚,1200,0,1,0,0.0
