Trainer,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
巫偉傑,沙田,AWT,1650,0,10,0,-10.0,48.59,0.0,0.0,-100.0
徐雨石,沙田,Turf,1600,0,10,1,-10.0,30.55,0.0,10.0,-100.0
方嘉柏,沙田,Turf,2000,0,10,1,-10.0,14.51,0.0,10.0,-100.0
游達榮,沙田,Turf,2000,0,10,1,-10.0,19.57,0.0,10.0,-100.0
羅富全,沙田,Turf,2000,0,10,0,-10.0,71.59,0.0,0.0,-100.0
鄭俊偉,沙田,Turf,1800,0,10,1,-10.0,33.13,0.0,10.0,-100.0
鄭俊偉,跑馬地,Turf,1000,0,10,1,-10.0,35.6,0.0,10.0,-100.0
丁冠豪,沙田,Turf,1000,1,9,2,-4.6,38.82,11.11,22.22,-51.11
蘇偉賢,跑馬地,Turf,1800,0,9,3,-9.0,13.98,0.0,33.33,-100.0
賀賢,沙田,AWT,1650,0,9,0,-9.0,26.21,0.0,0.0,-100.0
呂健威,沙田,Turf,2000,1,8,4,18.0,23.4,12.5,50.0,225.0
告東尼,沙田,Turf,2400,0,8,1,-8.0,41.7,0.0,12.5,-100.0
容天鵬,沙田,Turf,1800,0,8,2,-8.0,38.74,0.0,25.0,-100.0
丁冠豪,沙田,Turf,1800,1,7,3,6.0,12.69,14.29,42.86,85.71
大衛希斯,沙田,AWT,1800,1,7,2,5.0,29.03,14.29,28.57,71.43
徐雨石,跑馬地,Turf,1800,1,7,2,1.9000000000000004,31.29,14.29,28.57,27.14
葉楚航,沙田,AWT,1800,1,7,2,-0.7999999999999998,28.27,14.29,28.57,-11.43
丁冠豪,跑馬地,Turf,1800,0,7,0,-7.0,18.77,0.0,0.0,-100.0
容天鵬,跑馬地,Turf,1800,0,7,0,-7.0,32.6,0.0,0.0,-100.0
蘇偉賢,沙田,AWT,1650,0,7,1,-7.0,57.36,0.0,14.29,-100.0
黎昭昇,跑馬地,Turf,1800,0,7,0,-7.0,62.83,0.0,0.0,-100.0
丁冠豪,沙田,Turf,2000,1,6,2,-2.0,28.82,16.67,33.33,-33.33
丁冠豪,沙田,AWT,1800,0,6,1,-6.0,42.3,0.0,16.67,-100.0
呂健威,跑馬地,Turf,1000,0,6,0,-6.0,34.83,0.0,0.0,-100.0
告東尼,沙田,AWT,1800,0,6,2,-6.0,44.15,0.0,33.33,-100.0
鄭俊偉,沙田,Turf,2000,0,6,1,-6.0,62.4,0.0,16.67,-100.0
黎昭昇,跑馬地,Turf,2200,0,6,1,-6.0,19.25,0.0,16.67,-100.0
方嘉柏,跑馬地,Turf,2200,1,5,1,0.40000000000000036,16.68,20.0,20.0,8.0
沈集成,沙田,AWT,1800,1,5,1,-1.7000000000000002,5.9,20.0,20.0,-34.0
丁冠豪,沙田,AWT,1650,0,5,0,-5.0,28.34,0.0,0.0,-100.0
蘇偉賢,沙田,AWT,1800,0,5,1,-5.0,36.84,0.0,20.0,-100.0
蘇偉賢,跑馬地,Turf,2200,0,5,1,-5.0,7.98,0.0,20.0,-100.0
鄭俊偉,沙田,AWT,1800,0,5,2,-5.0,12.54,0.0,40.0,-100.0
文家良,沙田,Turf,1800,1,4,2,-0.5,30.1,25.0,50.0,-12.5
文家良,沙田,Turf,2000,1,4,2,-2.0,5.78,25.0,50.0,-50.0
文家良,跑馬地,Turf,1800,1,4,2,5.4,17.45,25.0,50.0,135.0
蔡約翰,沙田,Turf,2400,1,4,1,-2.2,10.92,25.0,25.0,-55.0
丁冠豪,沙田,AWT,1200,0,4,0,-4.0,16.75,0.0,0.0,-100.0
巫偉傑,沙田,Turf,2000,0,4,1,-4.0,35.62,0.0,25.0,-100.0
廖康銘,跑馬地,Turf,2200,0,4,0,-4.0,13.12,0.0,0.0,-100.0
游達榮,沙田,Turf,1000,0,4,0,-4.0,20.3,0.0,0.0,-100.0
蔡約翰,沙田,AWT,1800,0,4,2,-4.0,23.62,0.0,50.0,-100.0
韋達,沙田,Turf,2000,0,4,0,-4.0,44.0,0.0,0.0,-100.0
韋達,跑馬地,Turf,2200,0,4,1,-4.0,44.5,0.0,25.0,-100.0
黎昭昇,沙田,Turf,2000,0,4,1,-4.0,56.25,0.0,25.0,-100.0
丁冠豪,跑馬地,Turf,1000,2,3,2,62.3,28.77,66.67,66.67,2076.67
大衛希斯,跑馬地,Turf,2200,1,3,1,4.1,17.23,33.33,33.33,136.67
方嘉柏,沙田,AWT,1800,1,3,1,17.0,10.27,33.33,33.33,566.67
韋達,沙田,AWT,1800,1,3,1,4.1,29.7,33.33,33.33,136.67
丁冠豪,跑馬地,Turf,2200,0,3,0,-3.0,28.9,0.0,0.0,-100.0
中內田充正,沙田,Turf,2000,0,3,2,-3.0,6.27,0.0,66.67,-100.0
容天鵬,沙田,AWT,1800,0,3,0,-3.0,32.33,0.0,0.0,-100.0
容天鵬,沙田,Turf,2000,0,3,0,-3.0,29.3,0.0,0.0,-100.0
容天鵬,跑馬地,Turf,2200,0,3,0,-3.0,64.33,0.0,0.0,-100.0
徐雨石,沙田,AWT,1800,0,3,0,-3.0,9.6,0.0,0.0,-100.0
徐雨石,沙田,Turf,2000,0,3,0,-3.0,22.6,0.0,0.0,-100.0
游達榮,跑馬地,Turf,2200,0,3,2,-3.0,10.07,0.0,66.67,-100.0
羅富全,沙田,AWT,1800,0,3,1,-3.0,14.3,0.0,33.33,-100.0
賀賢,沙田,AWT,1800,0,3,0,-3.0,26.67,0.0,0.0,-100.0
鄭俊偉,跑馬地,Turf,2200,0,3,0,-3.0,28.33,0.0,0.0,-100.0
堀宣行,沙田,Turf,2000,1,2,2,1.7000000000000002,8.85,50.0,100.0,85.0
堀宣行,沙田,Turf,1200,0,2,2,-2.0,15.0,0.0,100.0,-100.0
