Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
巴度,跑馬地,Turf,1000,3,14,4,-1.9000000000000004,13.61,21.43,28.57,-13.57
梁家俊,沙田,Turf,1800,2,14,3,9.7,35.54,14.29,21.43,69.29
麥文堅,沙田,Turf,1600,2,14,2,-0.2999999999999998,40.29,14.29,14.29,-2.14
何澤堯,沙田,AWT,1650,1,14,3,1.0,13.61,7.14,21.43,7.14
班德禮,沙田,AWT,1200,0,14,4,-14.0,29.7,0.0,28.57,-100.0
金誠剛,沙田,Turf,1000,0,14,0,-14.0,85.14,0.0,0.0,-100.0
黃智弘,沙田,Turf,1000,0,14,2,-14.0,35.42,0.0,14.29,-100.0
麥道朗,沙田,Turf,1600,4,13,6,2.1,5.72,30.77,46.15,16.15
袁幸堯,沙田,Turf,1200,3,13,7,4.799999999999999,9.84,23.08,53.85,36.92
何澤堯,跑馬地,Turf,1000,2,13,6,-6.6,39.53,15.38,46.15,-50.77
霍宏聲,沙田,Turf,1800,2,13,2,9.0,20.58,15.38,15.38,69.23
麥道朗,跑馬地,Turf,1200,2,13,4,21.0,10.04,15.38,30.77,161.54
黃智弘,跑馬地,Turf,1000,2,13,5,-2.1000000000000005,18.32,15.38,38.46,-16.15
希威森,沙田,Turf,1800,1,13,3,-1.0,36.07,7.69,23.08,-7.69
潘頓,沙田,Turf,2000,1,13,4,-5.5,7.25,7.69,30.77,-42.31
艾兆禮,跑馬地,Turf,1800,1,13,5,-7.4,15.13,7.69,38.46,-56.92
蔡明紹,跑馬地,Turf,1000,1,13,5,-8.6,19.08,7.69,38.46,-66.15
麥文堅,跑馬地,Turf,1650,1,13,3,-7.5,16.75,7.69,23.08,-57.69
黃智弘,沙田,AWT,1650,1,13,3,-10.4,47.69,7.69,23.08,-80.0
奧爾民,跑馬地,Turf,1000,0,13,2,-13.0,22.87,0.0,15.38,-100.0
巫顯東,跑馬地,Turf,1200,0,13,1,-13.0,63.77,0.0,7.69,-100.0
巴度,沙田,Turf,1800,0,13,2,-13.0,31.4,0.0,15.38,-100.0
希威森,跑馬地,Turf,1800,2,12,3,-0.8999999999999995,31.26,16.67,25.0,-7.5
金誠剛,跑馬地,Turf,1000,2,12,3,112.0,45.86,16.67,25.0,933.33
潘明輝,沙田,Turf,1800,1,12,4,-4.6,45.65,8.33,33.33,-38.33
紀仁安,沙田,AWT,1200,1,12,4,-2.0,13.56,8.33,33.33,-16.67
艾道拿,沙田,AWT,1650,1,12,3,-10.1,22.4,8.33,25.0,-84.17
麥道朗,跑馬地,Turf,1650,1,12,2,-4.8,13.07,8.33,16.67,-40.0
巫顯東,沙田,Turf,1400,0,12,1,-12.0,69.35,0.0,8.33,-100.0
楊明綸,跑馬地,Turf,1000,0,12,0,-12.0,60.52,0.0,0.0,-100.0
潘大衛,跑馬地,Turf,1650,0,12,3,-12.0,49.65,0.0,25.0,-100.0
潘明輝,跑馬地,Turf,1800,0,12,3,-12.0,22.29,0.0,25.0,-100.0
艾道拿,沙田,Turf,1800,0,12,2,-12.0,26.99,0.0,16.67,-100.0
布文,沙田,Turf,2000,3,11,3,12.2,23.97,27.27,27.27,110.91
莫雷拉,跑馬地,Turf,1650,3,11,4,1.0999999999999996,6.49,27.27,36.36,10.0
黃智弘,跑馬地,Turf,1800,2,11,4,25.9,34.41,18.18,36.36,235.45
何澤堯,跑馬地,Turf,1800,1,11,2,-2.4000000000000004,11.09,9.09,18.18,-21.82
梁家俊,沙田,Turf,2000,1,11,4,-5.0,18.85,9.09,36.36,-45.45
班德禮,跑馬地,Turf,1800,1,11,3,-5.6,33.32,9.09,27.27,-50.91
艾兆禮,沙田,Turf,2000,1,11,4,-4.8,17.48,9.09,36.36,-43.64
莫雷拉,沙田,Turf,1400,1,11,5,7.0,9.45,9.09,45.45,63.64
袁幸堯,沙田,AWT,1200,1,11,4,-8.6,8.35,9.09,36.36,-78.18
袁幸堯,沙田,Turf,1400,1,11,3,6.0,8.94,9.09,27.27,54.55
周俊樂,沙田,Turf,1800,0,11,2,-11.0,28.89,0.0,18.18,-100.0
