rank,formula,place_mode,gold,good,pass,top3_place,top3_win,0hit,1hit,2hit,3hit,gold_delta,good_delta,pass_delta,place_delta,zero_hit_delta,one_hit_delta
182,sectional_speed_heavy+jt_fit_tempered,place_live,3.8%,19.9%,37.3%,42.0%,49.7%,48,150,106,12,-0.3,-0.9,-1.6,-0.6,+0,+5
183,sectional_speed_heavy+jt_fit_tempered+formline_purer,place_live,3.8%,19.9%,37.3%,42.0%,49.7%,48,150,106,12,-0.3,-0.9,-1.6,-0.6,+0,+5
184,jt_fit_tempered+class_weight_heavy_rating,place_live,4.4%,19.6%,37.3%,42.1%,49.7%,49,149,104,14,+0.3,-1.3,-1.6,-0.5,+1,+4
185,jt_fit_tempered+class_weight_80_20+class_weight_heavy_rating,place_live,4.4%,19.6%,37.3%,42.1%,49.7%,49,149,104,14,+0.3,-1.3,-1.6,-0.5,+1,+4
186,jt_fit_tempered+class_weight_no_rating+class_weight_heavy_rating,place_live,4.4%,19.6%,37.3%,42.1%,49.7%,49,149,104,14,+0.3,-1.3,-1.6,-0.5,+1,+4
187,jt_fit_tempered+class_weight_class_only+class_weight_heavy_rating,place_live,4.4%,19.6%,37.3%,42.1%,49.7%,49,149,104,14,+0.3,-1.3,-1.6,-0.5,+1,+4
188,jt_fit_tempered+class_weight_heavy_rating+formline_purer,place_live,4.4%,19.6%,37.3%,42.0%,49.4%,50,148,104,14,+0.3,-1.3,-1.6,-0.6,+2,+3
189,race_shape_pure_pace+sectional_speed_heavy,place_half,4.1%,19.6%,37.3%,41.8%,48.1%,51,147,105,13,+0.0,-1.3,-1.6,-0.8,+3,+2
190,race_shape_pure_pace+sectional_speed_heavy+formline_purer,place_half,4.1%,19.6%,37.3%,41.8%,47.8%,51,147,105,13,+0.0,-1.3,-1.6,-0.8,+3,+2
191,sectional_speed_heavy+jt_fit_tempered,place_half,3.5%,19.6%,37.3%,42.0%,50.0%,47,151,107,11,-0.6,-1.3,-1.6,-0.6,-1,+6
192,sectional_speed_heavy+jt_fit_tempered+formline_purer,place_half,3.5%,19.6%,37.3%,42.0%,50.0%,47,151,107,11,-0.6,-1.3,-1.6,-0.6,-1,+6
193,sectional_speed_heavy+jt_fit_tempered+class_weight_no_rating,place_live,3.5%,19.6%,37.3%,41.7%,48.7%,50,148,107,11,-0.6,-1.3,-1.6,-0.9,+2,+3
194,sectional_speed_heavy+class_weight_no_rating+track_pure,place_live,4.1%,19.3%,37.3%,42.2%,49.7%,47,151,105,13,+0.0,-1.6,-1.6,-0.4,-1,+6
195,class_weight_80_20+track_pure,place_live,4.1%,19.3%,37.3%,41.9%,48.1%,50,148,105,13,+0.0,-1.6,-1.6,-0.7,+2,+3
196,class_weight_class_only+track_pure,place_live,4.1%,19.3%,37.3%,41.9%,48.1%,50,148,105,13,+0.0,-1.6,-1.6,-0.7,+2,+3
197,class_weight_80_20+track_pure+formline_purer,place_live,4.1%,19.3%,37.3%,41.9%,48.1%,50,148,105,13,+0.0,-1.6,-1.6,-0.7,+2,+3
198,class_weight_class_only+track_pure+formline_purer,place_live,4.1%,19.3%,37.3%,41.9%,48.1%,50,148,105,13,+0.0,-1.6,-1.6,-0.7,+2,+3
199,class_weight_80_20+class_weight_class_only+track_pure,place_live,4.1%,19.3%,37.3%,41.9%,48.1%,50,148,105,13,+0.0,-1.6,-1.6,-0.7,+2,+3
200,race_shape_pure_pace+class_weight_heavy_rating,place_live,4.7%,19.0%,37.3%,41.7%,47.5%,54,144,103,15,+0.6,-1.9,-1.6,-0.9,+6,-1
201,race_shape_pure_pace+class_weight_heavy_rating+formline_purer,place_live,4.7%,19.0%,37.3%,41.7%,47.5%,54,144,103,15,+0.6,-1.9,-1.6,-0.9,+6,-1
202,race_shape_pure_pace+class_weight_80_20+class_weight_heavy_rating,place_live,4.7%,19.0%,37.3%,41.7%,47.5%,54,144,103,15,+0.6,-1.9,-1.6,-0.9,+6,-1
203,race_shape_pure_pace+class_weight_no_rating+class_weight_heavy_rating,place_live,4.7%,19.0%,37.3%,41.7%,47.5%,54,144,103,15,+0.6,-1.9,-1.6,-0.9,+6,-1
204,race_shape_pure_pace+class_weight_class_only+class_weight_heavy_rating,place_live,4.7%,19.0%,37.3%,41.7%,47.5%,54,144,103,15,+0.6,-1.9,-1.6,-0.9,+6,-1
205,race_shape_pure_pace+class_weight_heavy_rating,place_half,4.4%,19.0%,37.3%,41.6%,47.5%,54,144,104,14,+0.3,-1.9,-1.6,-1.1,+6,-1
206,race_shape_pure_pace+class_weight_heavy_rating+formline_purer,place_half,4.4%,19.0%,37.3%,41.6%,47.5%,54,144,104,14,+0.3,-1.9,-1.6,-1.1,+6,-1
207,race_shape_pure_pace+class_weight_80_20+class_weight_heavy_rating,place_half,4.4%,19.0%,37.3%,41.6%,47.5%,54,144,104,14,+0.3,-1.9,-1.6,-1.1,+6,-1
208,race_shape_pure_pace+class_weight_no_rating+class_weight_heavy_rating,place_half,4.4%,19.0%,37.3%,41.6%,47.5%,54,144,104,14,+0.3,-1.9,-1.6,-1.1,+6,-1
209,race_shape_pure_pace+class_weight_class_only+class_weight_heavy_rating,place_half,4.4%,19.0%,37.3%,41.6%,47.5%,54,144,104,14,+0.3,-1.9,-1.6,-1.1,+6,-1
210,jt_fit_tempered+class_weight_no_rating,place_off,3.5%,19.0%,37.3%,41.7%,49.1%,50,148,107,11,-0.6,-1.9,-1.6,-0.9,+2,+3
