Jockey,Trainer,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,TrainerDebutWinRate,TrainerDebutPlaceRate,JockeyDebutWinRate,JockeyDebutPlaceRate,WinEdgeVsMean,PlaceEdgeVsMean
潘頓,告東尼,0,4,0,10.1,0.0,0.0,4.71,14.12,24.0,49.6,-14.36,-31.86
黃智弘,徐雨石,1,3,1,46.47,33.33,33.33,7.69,12.82,6.45,12.9,26.26,20.47
金誠剛,姚本輝,1,3,1,49.17,33.33,33.33,9.38,33.33,6.67,6.67,25.3,13.33
潘明輝,沈集成,1,3,2,44.67,33.33,66.67,6.0,16.0,10.1,22.22,25.28,47.56
布文,姚本輝,1,3,2,6.53,33.33,66.67,9.38,33.33,10.87,33.7,23.2,33.16
潘明輝,廖康銘,1,3,1,18.33,33.33,33.33,10.42,22.92,10.1,22.22,23.07,10.76
潘頓,游達榮,1,3,1,6.77,33.33,33.33,5.56,12.5,24.0,49.6,18.55,2.28
賀銘年,容天鵬,0,3,0,66.33,0.0,0.0,2.13,6.38,0.0,5.88,-1.06,-6.13
巴度,韋達,0,3,0,9.17,0.0,0.0,1.16,16.28,4.0,14.67,-2.58,-15.48
梁家俊,容天鵬,0,3,0,63.33,0.0,0.0,2.13,6.38,5.83,22.33,-3.98,-14.35
班德禮,告東尼,0,3,1,20.67,0.0,33.33,4.71,14.12,4.17,15.28,-4.44,18.63
賀銘年,姚本輝,0,3,1,33.33,0.0,33.33,9.38,33.33,0.0,5.88,-4.69,13.72
希威森,黎昭昇,0,3,1,46.33,0.0,33.33,5.06,22.78,4.95,14.85,-5.0,14.51
艾兆禮,賀賢,0,3,0,26.33,0.0,0.0,6.82,21.59,3.19,20.21,-5.0,-20.9
董明朗,大衛希斯,0,3,0,40.0,0.0,0.0,5.36,23.21,5.13,7.69,-5.24,-15.45
艾道拿,葉楚航,0,3,1,17.0,0.0,33.33,5.41,14.86,5.43,25.0,-5.42,13.4
希威森,沈集成,0,3,0,71.0,0.0,0.0,6.0,16.0,4.95,14.85,-5.48,-15.42
鍾易禮,文家良,0,3,0,87.0,0.0,0.0,8.64,16.05,2.41,8.43,-5.52,-12.24
田泰安,葉楚航,0,3,0,45.33,0.0,0.0,5.41,14.86,6.56,20.49,-5.98,-17.67
董明朗,賀賢,0,3,0,90.67,0.0,0.0,6.82,21.59,5.13,7.69,-5.98,-14.64
楊明綸,巫偉傑,0,3,0,21.33,0.0,0.0,7.45,19.15,5.33,17.33,-6.39,-18.24
巴度,姚本輝,0,3,1,18.5,0.0,33.33,9.38,33.33,4.0,14.67,-6.69,9.33
周俊樂,伍鵬志,0,3,0,94.33,0.0,0.0,9.0,20.0,4.9,12.75,-6.95,-16.38
希威森,伍鵬志,0,3,0,36.0,0.0,0.0,9.0,20.0,4.95,14.85,-6.98,-17.42
周俊樂,丁冠豪,0,3,0,45.67,0.0,0.0,9.3,20.93,4.9,12.75,-7.1,-16.84
巴度,蘇偉賢,0,3,0,34.33,0.0,0.0,10.87,22.83,4.0,14.67,-7.44,-18.75
田泰安,丁冠豪,0,3,1,43.57,0.0,33.33,9.3,20.93,6.56,20.49,-7.93,12.62
梁家俊,呂健威,0,3,1,63.4,0.0,33.33,12.12,27.27,5.83,22.33,-8.98,8.53
霍宏聲,賀賢,0,3,1,34.47,0.0,33.33,6.82,21.59,11.36,21.59,-9.09,11.74
布文,羅富全,0,3,2,5.97,0.0,66.67,8.42,24.21,10.87,33.7,-9.64,37.72
布文,文家良,0,3,1,11.83,0.0,33.33,8.64,16.05,10.87,33.7,-9.75,8.45
霍宏聲,羅富全,0,3,0,15.0,0.0,0.0,8.42,24.21,11.36,21.59,-9.89,-22.9
霍宏聲,姚本輝,0,3,0,27.73,0.0,0.0,9.38,33.33,11.36,21.59,-10.37,-27.46
奧爾民,伍鵬志,0,3,0,58.8,0.0,0.0,9.0,20.0,12.5,21.88,-10.75,-20.94
周俊樂,鄭俊偉,1,2,2,19.5,50.0,100.0,6.9,25.86,4.9,12.75,44.1,80.69
黃智弘,伍鵬志,1,2,1,25.0,50.0,50.0,9.0,20.0,6.45,12.9,42.28,33.55
何澤堯,文家良,1,2,1,14.7,50.0,50.0,8.64,16.05,10.98,25.61,40.19,29.17
奧爾民,廖康銘,1,2,1,20.9,50.0,50.0,10.42,22.92,12.5,21.88,38.54,27.6
麥道朗,沈集成,1,2,1,3.55,50.0,50.0,6.0,16.0,33.33,44.44,30.34,19.78
羅敦,岳伯仁,0,2,0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
蘇銘倫,葛威法,0,2,1,8.05,0.0,50.0,0.0,50.0,0.0,33.33,0.0,8.34
鍾易禮,容天鵬,0,2,0,81.0,0.0,0.0,2.13,6.38,2.41,8.43,-2.27,-7.4
潘大衛,游達榮,0,2,0,38.5,0.0,0.0,5.56,12.5,0.0,14.29,-2.78,-13.4
周俊樂,韋達,0,2,1,12.5,0.0,50.0,1.16,16.28,4.9,12.75,-3.03,35.48
湯普新,徐雨石,0,2,0,77.0,0.0,0.0,7.69,12.82,0.0,9.84,-3.84,-11.33
艾兆禮,葉楚航,0,2,0,34.5,0.0,0.0,5.41,14.86,3.19,20.21,-4.3,-17.54
賀銘年,文家良,0,2,0,131.5,0.0,0.0,8.64,16.05,0.0,5.88,-4.32,-10.96
薛恩,伍鵬志,0,2,0,38.0,0.0,0.0,9.0,20.0,0.0,0.0,-4.5,-10.0
賀銘年,伍鵬志,0,2,0,29.2,0.0,0.0,9.0,20.0,0.0,5.88,-4.5,-12.94
艾兆禮,沈集成,0,2,0,94.5,0.0,0.0,6.0,16.0,3.19,20.21,-4.6,-18.1
班德禮,黎昭昇,0,2,0,13.0,0.0,0.0,5.06,22.78,4.17,15.28,-4.62,-19.03
賀銘年,丁冠豪,0,2,0,23.0,0.0,0.0,9.3,20.93,0.0,5.88,-4.65,-13.4
巴度,葉楚航,0,2,0,35.5,0.0,0.0,5.41,14.86,4.0,14.67,-4.7,-14.76
鍾易禮,徐雨石,0,2,1,150.5,0.0,50.0,7.69,12.82,2.41,8.43,-5.05,39.38
湯普新,方嘉柏,0,2,0,75.5,0.0,0.0,10.34,24.14,0.0,9.84,-5.17,-16.99
潘大衛,方嘉柏,0,2,1,50.0,0.0,50.0,10.34,24.14,0.0,14.29,-5.17,30.78
莫雷拉,方嘉柏,0,2,1,15.7,0.0,50.0,10.34,24.14,0.0,57.14,-5.17,9.36
周俊樂,游達榮,0,2,0,42.0,0.0,0.0,5.56,12.5,4.9,12.75,-5.23,-12.62
蔡明紹,黎昭昇,0,2,0,86.25,0.0,0.0,5.06,22.78,5.49,18.68,-5.28,-20.73
楊明綸,葉楚航,0,2,0,125.0,0.0,0.0,5.41,14.86,5.33,17.33,-5.37,-16.1
巫顯東,蘇偉賢,0,2,0,121.0,0.0,0.0,10.87,22.83,0.0,8.7,-5.44,-15.76
巴度,巫偉傑,0,2,0,88.5,0.0,0.0,7.45,19.15,4.0,14.67,-5.72,-16.91
艾道拿,沈集成,0,2,0,64.0,0.0,0.0,6.0,16.0,5.43,25.0,-5.72,-20.5
巴度,徐雨石,0,2,0,115.5,0.0,0.0,7.69,12.82,4.0,14.67,-5.85,-13.74
鍾易禮,姚本輝,0,2,0,11.05,0.0,0.0,9.38,33.33,2.41,8.43,-5.9,-20.88
艾兆禮,文家良,0,2,0,27.5,0.0,0.0,8.64,16.05,3.19,20.21,-5.92,-18.13
董明朗,鄭俊偉,0,2,0,41.5,0.0,0.0,6.9,25.86,5.13,7.69,-6.02,-16.77
蔡明紹,鄭俊偉,0,2,0,80.5,0.0,0.0,6.9,25.86,5.49,18.68,-6.2,-22.27
希威森,徐雨石,0,2,0,65.0,0.0,0.0,7.69,12.82,4.95,14.85,-6.32,-13.84
梁家俊,鄭俊偉,0,2,1,20.5,0.0,50.0,6.9,25.86,5.83,22.33,-6.36,25.9
董明朗,徐雨石,0,2,0,167.5,0.0,0.0,7.69,12.82,5.13,7.69,-6.41,-10.26
布文,容天鵬,0,2,0,29.5,0.0,0.0,2.13,6.38,10.87,33.7,-6.5,-20.04
黃寶妮,葉楚航,0,2,0,11.75,0.0,0.0,5.41,14.86,7.69,11.54,-6.55,-13.2
艾道拿,徐雨石,0,2,0,61.5,0.0,0.0,7.69,12.82,5.43,25.0,-6.56,-18.91
蔡明紹,徐雨石,0,2,0,40.0,0.0,0.0,7.69,12.82,5.49,18.68,-6.59,-15.75
黃智弘,鄭俊偉,0,2,0,12.6,0.0,0.0,6.9,25.86,6.45,12.9,-6.68,-19.38
奧爾民,韋達,0,2,0,47.5,0.0,0.0,1.16,16.28,12.5,21.88,-6.83,-19.08
鍾易禮,呂健威,0,2,0,87.5,0.0,0.0,12.12,27.27,2.41,8.43,-7.26,-17.85
黃智弘,文家良,0,2,0,71.9,0.0,0.0,8.64,16.05,6.45,12.9,-7.54,-14.48
田泰安,文家良,0,2,0,22.9,0.0,0.0,8.64,16.05,6.56,20.49,-7.6,-18.27
董明朗,方嘉柏,0,2,0,88.0,0.0,0.0,10.34,24.14,5.13,7.69,-7.74,-15.92
周俊樂,蘇偉賢,0,2,0,68.0,0.0,0.0,10.87,22.83,4.9,12.75,-7.88,-17.79
