Trainer,Going,Wins,Starts,Places,WinRate
巫偉傑,第五班 - 1650米 - (40-0),1,9,1,11.1
巫偉傑,第五班 - 1800米 - (40-0),0,3,0,0.0
巫偉傑,第四班 - 1000米 - (60-40),2,20,8,10.0
巫偉傑,第四班 - 1200米 - (60-40),10,97,27,10.3
巫偉傑,第四班 - 1400米 - (60-40),4,42,10,9.5
巫偉傑,第四班 - 1600米 - (60-40),0,13,3,0.0
巫偉傑,第四班 - 1650米 - (60-40),6,41,11,14.6
巫偉傑,第四班 - 1800米 - (60-40),0,6,0,0.0
巫偉傑,第四班 - 2000米 - (60-40),0,2,0,0.0
巫偉傑,第四班 - 2200米 - (60-40),1,2,1,50.0
巫偉傑,第四班（條件限制） - 1200米 - (60-40),1,3,2,33.3
巫偉傑,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
巴伯樂,一級賽 - 1600米,0,1,0,0.0
布銘球,一級賽 - 2400米,0,1,1,0.0
廖康銘,一級賽 - 1600米,1,4,1,25.0
廖康銘,一級賽 - 2000米,0,1,0,0.0
廖康銘,三級賽 - 1400米,1,1,1,100.0
廖康銘,二級賽 - 1600米,1,3,2,33.3
廖康銘,四歲 - 1600米,0,4,1,0.0
廖康銘,四歲 - 1800米,0,3,1,0.0
廖康銘,四歲 - 2000米,1,1,1,100.0
廖康銘,新馬賽 - 1000米,0,1,0,0.0
廖康銘,第三班 - 1000米 - (80-60),1,12,3,8.3
廖康銘,第三班 - 1000米 - (85-60),0,2,1,0.0
廖康銘,第三班 - 1200米 - (80-60),1,51,13,2.0
廖康銘,第三班 - 1200米 - (85-60),0,5,1,0.0
廖康銘,第三班 - 1400米 - (80-60),3,21,4,14.3
廖康銘,第三班 - 1400米 - (85-60),0,1,0,0.0
廖康銘,第三班 - 1600米 - (80-60),1,12,4,8.3
廖康銘,第三班 - 1600米 - (85-60),1,1,1,100.0
廖康銘,第三班 - 1650米 - (80-55),0,2,1,0.0
廖康銘,第三班 - 1650米 - (80-60),4,23,12,17.4
廖康銘,第三班 - 1650米 - (85-60),2,7,4,28.6
廖康銘,第三班 - 1800米 - (80-60),1,6,2,16.7
廖康銘,第三班 - 1800米 - (85-60),0,3,0,0.0
廖康銘,第三班 - 2000米 - (80-60),0,3,2,0.0
廖康銘,第三班 - 2000米 - (85-60),1,6,2,16.7
廖康銘,第三班 - 2200米 - (80-55),0,1,0,0.0
廖康銘,第三班（條件限制） - 1600米 - (85-60),1,4,1,25.0
廖康銘,第二班 - 1000米 - (100-75),1,1,1,100.0
廖康銘,第二班 - 1000米 - (105-75),0,1,0,0.0
廖康銘,第二班 - 1000米 - (105-80),0,3,1,0.0
廖康銘,第二班 - 1200米 - (100-80),2,11,4,18.2
廖康銘,第二班 - 1200米 - (105-80),0,3,1,0.0
廖康銘,第二班 - 1400米 - (100-75),0,2,0,0.0
廖康銘,第二班 - 1400米 - (100-80),0,3,2,0.0
