period,target,model,feature_group,rows,races,log_loss,brier,ece_10,roc_auc,winner_top1,winner_top2,winner_top3,winner_top5,winner_rr,top3_capture_at3,top3_capture_at5,top2_zero_hit,top2_one_hit,top2_two_hit,place_capture_at_cutoff,ndcg_at5,train_end,test_date
2026-07-08,Win,LightGBM,matrix_7d,103.0,9.0,0.26465195851267626,0.0740068869629298,0.015833959195008164,0.7576832151300237,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.7777777777777778,0.5317460317460317,0.2962962962962963,0.5925925925925926,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.2962962962962963,0.5266068662303672,2026-07-04,2026-07-08
2026-07-12,Win,LightGBM,matrix_7d,152.0,11.0,0.242320172787048,0.06429430117358824,0.005732506845949377,0.6918117343649259,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.4200577200577201,0.3939393939393939,0.606060606060606,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.3939393939393939,0.49914976864817856,2026-07-08,2026-07-12
2026-05-09,Win,XGBoost,matrix_7d,141.0,11.0,0.2734519404838468,0.07186241654326761,2.800572847209586e-09,0.5279720279720279,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.2382011927466473,0.24242424242424246,0.45454545454545453,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.24242424242424246,0.30414481192557496,2026-05-06,2026-05-09
2026-05-13,Win,XGBoost,matrix_7d,101.0,9.0,0.29982342154514635,0.08105810581058108,3.393333731441871e-09,0.5277777777777778,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3235529902196569,0.2962962962962963,0.48148148148148145,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.2962962962962963,0.4064558591595194,2026-05-09,2026-05-13
2026-05-17,Win,XGBoost,matrix_7d,146.0,11.0,0.26702297232870703,0.06963470319634704,2.041254956730576e-09,0.5188552188552189,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.2372687918142464,0.2424242424242424,0.3939393939393939,0.6363636363636364,0.36363636363636365,0.0,0.2424242424242424,0.24091205531976245,2026-05-13,2026-05-17
2026-05-20,Win,XGBoost,matrix_7d,108.0,9.0,0.2868359830561609,0.0763888888888889,4.967053726656623e-09,0.5,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.21671476671476672,0.3333333333333333,0.5185185185185185,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3213901282402526,2026-05-17,2026-05-20
2026-05-24,Win,XGBoost,matrix_7d,145.0,11.0,0.2678319691302209,0.06999743551467691,3.442682075431628e-09,0.5271370420624152,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.7272727272727273,0.43225108225108233,0.30303030303030304,0.5151515151515151,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.30303030303030304,0.45533724034903306,2026-05-20,2026-05-24
2026-05-27,Win,XGBoost,matrix_7d,104.0,9.0,0.29427898707347405,0.07902097902097903,8.596823784362978e-10,0.515204678362573,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.3189594356261023,0.2962962962962963,0.4444444444444444,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.2962962962962963,0.37013128064093287,2026-05-24,2026-05-27
2026-06-03,Win,XGBoost,matrix_7d,95.0,8.0,0.28889704892167517,0.07711323763955345,4.078212531566372e-09,0.5050287356321839,0.125,0.125,0.25,0.5,0.2908279220779221,0.16666666666666666,0.4583333333333333,0.75,0.25,0.0,0.16666666666666666,0.3267893541381426,2026-05-27,2026-06-03
2026-06-07,Win,XGBoost,matrix_7d,117.0,9.0,0.27084954956351825,0.07095682095682097,6.368017502200729e-10,0.5246913580246914,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.16626984126984126,0.18518518518518517,0.4074074074074074,0.5555555555555556,0.4444444444444444,0.0,0.18518518518518517,0.2662491903814322,2026-06-03,2026-06-07
2026-06-10,Win,XGBoost,matrix_7d,106.0,9.0,0.2893068430367062,0.07750302247413572,0.003987229095315027,0.6351660939289805,0.0,0.0,0.4444444444444444,0.6666666666666666,0.24567901234567902,0.33333333333333326,0.6296296296296295,0.6666666666666666,0.3333333333333333,0.0,0.33333333333333326,0.3900201031831008,2026-06-07,2026-06-10
2026-06-13,Win,XGBoost,matrix_7d,131.0,11.0,0.284430383115768,0.07621656641947672,3.9812263610933726e-10,0.5840909090909091,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.4806637806637806,0.42424242424242425,0.7272727272727273,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.42424242424242425,0.5896745265775638,2026-06-10,2026-06-13
2026-06-21,Win,XGBoost,matrix_7d,145.0,11.0,0.26321911653803176,0.0693830532815365,0.0035265561578602606,0.6791044776119404,0.09090909090909091,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.3466394716394716,0.3333333333333333,0.5454545454545454,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.3333333333333333,0.42822707415449474,2026-06-13,2026-06-21
2026-06-27,Win,XGBoost,matrix_7d,150.0,11.0,0.25814990492126333,0.06740693712153549,0.00571660310029983,0.6360366252452583,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.422842056932966,0.36363636363636365,0.6060606060606061,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.36363636363636365,0.44928559629757975,2026-06-21,2026-06-27
2026-07-01,Win,XGBoost,matrix_7d,145.0,11.0,0.25969648053172717,0.06894107051977234,0.012296659936164996,0.7045454545454546,0.0,0.18181818181818182,0.2727272727272727,0.6363636363636364,0.2575068870523416,0.3939393939393939,0.6363636363636364,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.3939393939393939,0.47093144801614933,2026-06-27,2026-07-01
2026-07-04,Win,XGBoost,matrix_7d,130.0,11.0,0.27259064523543697,0.07447630080174587,0.01677227845558753,0.7360580595874714,0.36363636363636365,0.45454545454545453,0.5454545454545454,0.8181818181818182,0.522077922077922,0.5151515151515151,0.7575757575757575,0.0,0.8181818181818182,0.18181818181818182,0.5151515151515151,0.6428882533513466,2026-07-01,2026-07-04
2026-07-08,Win,XGBoost,matrix_7d,103.0,9.0,0.2823315521331441,0.07732448113704458,0.017162872930464243,0.7074468085106383,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.7777777777777778,0.42235449735449737,0.4074074074074074,0.6666666666666665,0.1111111111111111,0.8888888888888888,0.0,0.4074074074074074,0.5667362977062251,2026-07-04,2026-07-08
2026-07-12,Win,XGBoost,matrix_7d,152.0,11.0,0.24421382124471186,0.0648536000652479,0.03603546836070324,0.7556415215989684,0.36363636363636365,0.45454545454545453,0.5454545454545454,0.6363636363636364,0.5031385281385282,0.4848484848484848,0.6666666666666665,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.4848484848484848,0.5733781963318785,2026-07-08,2026-07-12
