Jockey,Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
潘大衛,伍鵬志,0,2,0,-2.0,0.0,0.0,-100.0
潘大衛,呂健威,0,9,0,-9.0,0.0,0.0,-100.0
潘大衛,大衛希斯,0,8,1,-8.0,0.0,12.5,-100.0
潘大衛,姚本輝,0,6,0,-6.0,0.0,0.0,-100.0
薛恩,呂健威,0,2,1,-2.0,0.0,50.0,-100.0
薛恩,大衛希斯,0,4,2,-4.0,0.0,50.0,-100.0
董明朗,徐雨石,0,19,4,-19.0,0.0,21.1,-100.0
董明朗,文家良,0,3,0,-3.0,0.0,0.0,-100.0
董明朗,桂福特,0,8,1,-8.0,0.0,12.5,-100.0
董明朗,沈集成,0,1,0,-1.0,0.0,0.0,-100.0
董明朗,游達榮,0,5,0,-5.0,0.0,0.0,-100.0
董明朗,羅富全,0,3,0,-3.0,0.0,0.0,-100.0
董明朗,葉楚航,0,8,0,-8.0,0.0,0.0,-100.0
董明朗,賀賢,0,14,2,-14.0,0.0,14.3,-100.0
董明朗,鄭俊偉,0,5,0,-5.0,0.0,0.0,-100.0
董明朗,黎昭昇,0,6,0,-6.0,0.0,0.0,-100.0
蔡明紹,丁冠豪,0,10,0,-10.0,0.0,0.0,-100.0
蔡明紹,伍鵬志,0,13,4,-13.0,0.0,30.8,-100.0
蔡明紹,呂健威,0,17,1,-17.0,0.0,5.9,-100.0
蔡明紹,容天鵬,0,14,2,-14.0,0.0,14.3,-100.0
蘇銘倫,告東尼,0,1,0,-1.0,0.0,0.0,-100.0
蘇銘倫,姚本輝,0,2,1,-2.0,0.0,50.0,-100.0
蘇銘倫,巫偉傑,0,1,0,-1.0,0.0,0.0,-100.0
蘇銘倫,文家良,0,1,1,-1.0,0.0,100.0,-100.0
蘇銘倫,沈集成,0,4,0,-4.0,0.0,0.0,-100.0
蘇銘倫,葉楚航,0,7,1,-7.0,0.0,14.3,-100.0
蔡明紹,沈集成,0,12,1,-12.0,0.0,8.3,-100.0
蔡明紹,游達榮,0,11,0,-11.0,0.0,0.0,-100.0
蔡明紹,鄭俊偉,0,23,2,-23.0,0.0,8.7,-100.0
蔡明紹,黎昭昇,0,25,6,-25.0,0.0,24.0,-100.0
薛凱華,巫偉傑,0,1,0,-1.0,0.0,0.0,-100.0
薛凱華,游孝廉,0,2,1,-2.0,0.0,50.0,-100.0
薛凱華,菲德文及菲敦盟,0,1,0,-1.0,0.0,0.0,-100.0
薛凱華,馬漢雅,0,1,0,-1.0,0.0,0.0,-100.0
薛凱華,黎昭昇,0,1,0,-1.0,0.0,0.0,-100.0
薛恩,伍鵬志,0,7,1,-7.0,0.0,14.3,-100.0
袁幸堯,徐雨石,0,1,0,-1.0,0.0,0.0,-100.0
袁幸堯,文家良,0,1,0,-1.0,0.0,0.0,-100.0
袁幸堯,桂福特,0,1,0,-1.0,0.0,0.0,-100.0
袁幸堯,游達榮,0,1,0,-1.0,0.0,0.0,-100.0
袁幸堯,羅富全,0,4,2,-4.0,0.0,50.0,-100.0
袁幸堯,蘇偉賢,0,1,1,-1.0,0.0,100.0,-100.0
西村淳也,杉山晴紀,0,1,0,-1.0,0.0,0.0,-100.0
貝知仁,伍鵬志,0,10,1,-10.0,0.0,10.0,-100.0
薛恩,廖康銘,0,1,0,-1.0,0.0,0.0,-100.0
薛恩,方嘉柏,0,4,1,-4.0,0.0,25.0,-100.0
