Name,Type,Suburb/Area,Latitude (S),Longitude (E)
Hamilton Rifle Range,Shooting Range,Unknown,-37.7735213,142.0293815
S.S.A.A.,Shooting Range,Unknown,-20.7194259,139.6376271
Norfolk Island Pistol Club,Shooting Range,Unknown,-29.0068557,167.9199181
Cooma Rifle Range,Shooting Range,Unknown,-36.2455883,149.1468527
Range 4,Shooting Range,Unknown,-33.7218444,150.8066098
Range 8,Shooting Range,Unknown,-33.7219715,150.8075677
West Wyalong Gun Club,Shooting Range,Unknown,-33.8935787,147.2382757
Oakdale Pistol Club Inc,Shooting Range,Unknown,-42.8406308,147.3870226
Moree Gun Club,Shooting Range,"Moree, 2400",-29.4007892,149.9378616
Facility on Reservoir Street,Shooting Range,"Coonabarabran, New South Wales, 2357",-31.2832462,149.2613453
Melbourne Firearms Centre,Gun Shop,"Ringwood East, VIC, 3135",-37.8188157,145.2436543
Cleaver Firearms,Gun Shop,Unknown,-27.2426376,153.1080273
Townsville Pistol Club,Shooting Range,"Roseneath, QLD, 4811",-19.3555391,146.8251408
Tolosa Shooting Range,Shooting Range,Unknown,-42.854088,147.2491696
Sporting Shooters Association of Australia,Shooting Range,Unknown,-42.8542965,147.2495538
Murwillumbah Pistol Club,Shooting Range,"South Murwillumbah, NSW, 2484",-28.3381381,153.4187925
Blue Hills Range,Shooting Range,Unknown,-42.8414433,147.772836
Oberon Pistol Club,Shooting Range,Unknown,-33.7658106,149.8644216
Facility on Blue Hills Road,Shooting Range,"Tasmania, 7174",-42.8426542,147.779613
Wandoan Gun Club,Shooting Range,Unknown,-26.1244247,149.9705498
Safari Firearms,Gun Shop,Unknown,-33.9489468,151.1140857
Shooting Complex (Google),Shooting Range,"Wacol, Queensland, 4076",-27.5794042,152.9166846
Motel on Becker (Google),Gun Shop,Unknown,-35.8821535,140.0546472
Southern Vales Practical Shooting League Inc. (Google),Shooting Range,Unknown,-35.1705347,138.527244
Manly Small Bore Rifle Club,Shooting Range,Unknown,-33.7811383,151.2740103
St Helens Gun Club,Shooting Range,Unknown,-41.2729655,148.2854708
St Helens Gun Club,Shooting Range,Unknown,-41.2724062,148.2855396
Roma Gun Club,Shooting Range,Unknown,-26.5943105,148.7727682
Katoomba Rifle Club,Shooting Range,Unknown,-33.7048664,150.3448947
Blue Mountains Pistol Club (Google),Shooting Range,Unknown,-33.7034876,150.3468699
Bacchus Marsh Rifle Range,Shooting Range,Unknown,-37.6865722,144.3723964
Canberra Rifle Club (Google),Shooting Range,Unknown,-35.2160264,149.1961442
Majura Pistol Club (Google),Shooting Range,Unknown,-35.2084716,149.2026498
Majura Pistol Club (Google),Shooting Range,Unknown,-35.208545,149.2030072
Majura Park Gun Club - Clay Target (Google),Shooting Range,Unknown,-35.2088753,149.1999655
Majura Park Gun Club - Clay Target (Google),Shooting Range,Unknown,-35.2087516,149.2015649
Majura Park Gun Club - Clay Target (Google),Shooting Range,Unknown,-35.2087812,149.2011809
Unknown,Shooting Range,Unknown,-35.216295,149.1982177
Unknown,Shooting Range,Unknown,-35.2147511,149.200103
Sporting Shooters Association of Australia Act Inc. (Google),Shooting Range,Unknown,-35.2137556,149.1983666
Sporting Shooters Association of Australia Act Inc. (Google),Shooting Range,Unknown,-35.2127214,149.1992502
Shoesmith Firearms,Gun Shop,"Toowoomba City, 4350",-27.5659426,151.9521695
Unknown,Shooting Range,Unknown,-38.3894682,141.6452948
Service Range,Shooting Range,Unknown,-33.9607625,151.2565966
Rennie Shooting Range,Shooting Range,Unknown,-35.8126137,146.1356361
